wavelength	amplitude
1249.615214375	-0.0003198571428571429
1249.6341450579762	-0.0003170571428571428
1249.6531332308916	-0.00031848571428571426
1249.6721788397356	-0.00031457142857142854
1249.691281830508	-0.00031428571428571427
1249.7104421492204	-0.0003156857142857143
1249.7296597418933	-0.00031764285714285716
1249.74893455456	-0.0003151285714285715
1249.7682665332632	-0.0003098285714285714
1249.7876556240567	-0.00030869999999999997
1249.8071017730047	-0.00031288571428571423
1249.8266049261833	-0.00030981428571428567
1249.8461650296786	-0.0003106428571428571
1249.8657820295864	-0.0003095285714285714
1249.8854558720154	-0.0003045
1249.9051865030842	-0.0003048
1249.9249738689216	-0.00030255714285714285
1249.944817915667	-0.00030227142857142857
1249.964718589472	-0.0003000428571428571
1249.984675836498	-0.00029837142857142864
1250.004689602917	-0.0002964142857142857
1250.0247598349115	-0.0002972714285714286
1250.044886478676	-0.0002961571428571428
1250.0650694804146	-0.0002933428571428571
1250.0853087863436	-0.00029195714285714286
1250.1056043426875	-0.00029335714285714284
1250.1259560956842	-0.00029335714285714284
1250.1463639915808	-0.00029084285714285716
1250.1668279766361	-0.00028527142857142854
1250.1873479971184	-0.00028525714285714286
1250.2079239993088	-0.0002838571428571429
1250.2285559294967	-0.00028497142857142853
1250.2492437339847	-0.0002838571428571429
1250.269987359084	-0.0002813428571428571
1250.290786751118	-0.00027855714285714286
1250.3116418564205	-0.00028078571428571426
1250.3325526213353	-0.0002824571428571429
1250.3535189922184	-0.0002768714285714286
1250.374540915435	-0.00027297142857142856
1250.395618337363	-0.0002738
1250.4167512043887	-0.00027128571428571425
1250.4379394629111	-0.0002727
1250.4591830593392	-0.0002685142857142857
1250.4804819400924	-0.0002668428571428571
1250.501836051602	-0.0002646142857142857
1250.5232453403082	-0.00026378571428571423
1250.5447097526644	-0.0002624
1250.5662292351324	-0.0002668571428571428
1250.5878037341865	-0.0002579142857142857
1250.6094331963104	-0.00025652857142857146
1250.6311175679998	-0.00025681428571428574
1250.652856795761	-0.00025427142857142854
1250.6746508261099	-0.0002512142857142857
1250.6964996055738	-0.0002498142857142857
1250.718403080692	-0.0002464714285714285
1250.7403611980126	-0.0002445142857142857
1250.7623739040953	-0.0002450571428571428
1250.784441145511	-0.00024758571428571427
1250.8065628688405	-0.0002395142857142857
1250.828739020676	-0.0002355857142857143
1250.8509695476205	-0.00023364285714285715
1250.8732543962876	-0.00023140000000000001
1250.8955935133015	-0.00023254285714285715
1250.9179868452973	-0.00023027142857142855
1250.9404343389208	-0.00022777142857142857
1250.9629359408282	-0.0002207857142857143
1250.9854915976875	-0.00022107142857142857
1251.0081012561764	-0.00022387142857142856
1251.030764862984	-0.00022051428571428572
1251.0534823648102	-0.00021492857142857143
1251.0762537083647	-0.00021214285714285717
1251.0990788403697	-0.00021018571428571426
1251.1219577075558	-0.00021018571428571428
1251.1448902566667	-0.0002026857142857143
1251.167876434456	-0.00020294285714285716
1251.1909161876874	-0.00019875714285714287
1251.2140094631363	-0.00020015714285714288
1251.2371562075878	-0.00019932857142857143
1251.2603563678394	-0.00019317142857142857
1251.2836098906976	-0.00019035714285714288
1251.3069167229805	-0.00019232857142857142
1251.3302768115175	-0.00019037142857142856
1251.353690103148	-0.00018452857142857147
1251.377156544722	-0.00018367142857142856
1251.400676083101	-0.00018174285714285713
1251.4242486651565	-0.00017559999999999999
1251.4478742377712	-0.00017477142857142856
1251.4715527478384	-0.00017561428571428572
1251.495284142263	-0.00017085714285714287
1251.5190683679593	-0.00016581428571428572
1251.5429053718526	-0.0001636
1251.5667951008807	-0.00016692857142857142
1251.5907375019892	-0.00016218571428571428
1251.614732522137	-0.0001585857142857143
1251.6387801082933	-0.00015607142857142857
1251.6628802074365	-0.00015410000000000003
1251.6870327665574	-0.00015214285714285717
1251.7112377326566	-0.0001527
1251.7354950527472	-0.00014684285714285715
1251.7598046738506	-0.00014324285714285715
1251.784166543	-0.00014212857142857142
1251.8085806072404	-0.0001449142857142857
1251.8330468136255	-0.00013735714285714284
1251.8575651092222	-0.0001337142857142857
1251.882135441106	-0.00013484285714285713
1251.9067577563642	-0.00013205714285714285
1251.931432002095	-0.00013344285714285713
1251.956158125407	-0.00013347142857142856
1251.9809360734191	-0.00012422857142857144
1252.0057657932625	-0.0001237
1252.0306472320767	-0.00012507142857142857
1252.055580337015	-0.00012731428571428573
1252.0805650552386	-0.00012257142857142857
1252.1056013339219	-0.00011698571428571428
1252.1306891202482	-0.00011588571428571428
1252.1558283614124	-0.00011171428571428572
1252.18101900462	-0.00011337142857142857
1252.2062609970876	-0.00011364285714285715
1252.2315542860415	-0.0001078
1252.2568988187206	-0.00010524285714285713
1252.2822945423727	-0.00010219999999999999
1252.3077414042575	-0.00010608571428571429
1252.3332393516453	-0.0001022
1252.3587883318166	-9.830000000000002e-05
1252.3843882920632	-9.914285714285715e-05
1252.4100391796876	-9.578571428571428e-05
1252.4357409420027	-9.411428571428573e-05
1252.4614935263328	-9.632857142857143e-05
1252.4872968800125	-8.992857142857144e-05
1252.5131509503867	-8.854285714285716e-05
1252.5390556848129	-8.601428571428572e-05
1252.5650110306567	-8.52e-05
1252.5910169352967	-8.797142857142858e-05
1252.6170733461215	-8.015714285714288e-05
1252.6431802105299	-8.045714285714286e-05
1252.6693374759325	-7.511428571428571e-05
1252.6955450897492	-7.401428571428571e-05
1252.7218029994126	-8.101428571428572e-05
1252.7481111523646	-7.402857142857142e-05
1252.7744694960575	-6.621428571428571e-05
1252.8008779779566	-6.872857142857142e-05
1252.8273365455361	-6.677142857142856e-05
1252.8538451462807	-6.648571428571429e-05
1252.8804037276875	-6.312857142857144e-05
1252.9070122372627	-5.867142857142857e-05
1252.9336706225242	-6.09e-05
1252.9603788310005	-5.502857142857142e-05
1252.987136810231	-5.337142857142858e-05
1253.0139445077655	-5.588571428571428e-05
1253.0408018711646	-4.918571428571429e-05
1253.0677088480002	-5.141428571428572e-05
1253.0946653858534	-5.225714285714287e-05
1253.121671432319	-4.751428571428571e-05
1253.1487269349998	-4.751428571428571e-05
1253.1758318415107	-4.2485714285714286e-05
1253.2029860994764	-4.19e-05
1253.2301896565334	-4.247142857142858e-05
1253.2574424603285	-4.388571428571429e-05
1253.2847444585193	-3.662857142857143e-05
1253.3120955987745	-3.412857142857143e-05
1253.3394958287727	-3.2442857142857144e-05
1253.3669450962045	-3.6628571428571435e-05
1253.3944433487695	-3.1342857142857145e-05
1253.4219905341795	-2.8542857142857144e-05
1253.449586600158	-2.882857142857143e-05
1253.4772314944364	-2.4914285714285712e-05
1253.5049251647588	-2.4928571428571425e-05
1253.53266755888	-2.3242857142857148e-05
1253.5604586245645	-2.2685714285714283e-05
1253.5882983095896	-1.8757142857142857e-05
1253.6161865617407	-1.7357142857142856e-05
1253.6441233288165	-1.7657142857142857e-05
1253.672108558624	-1.9614285714285715e-05
1253.7001421989835	-1.3185714285714284e-05
1253.7282241977248	-9.828571428571429e-06
1253.7563545026876	-8.442857142857144e-06
1253.7845330617236	-9e-06
1253.8127598226954	-1.3471428571428571e-05
1253.8410347334748	-3.971428571428572e-06
1253.8693577419467	-5.1e-06
1253.8977287960047	-3.1428571428571433e-06
1253.9261478435542	-4.800000000000001e-06
1253.9546148325114	-3.442857142857143e-06
1253.9831297108024	-6.428571428571428e-07
1254.0116924263655	4.999999999999999e-07
1254.0403029271483	3.2999999999999997e-06
1254.0689611611094	5.785714285714285e-06
1254.09766707622	4.671428571428572e-06
1254.1264206204594	6.628571428571428e-06
1254.1552217418187	1.1942857142857142e-05
1254.1840703883004	1.2514285714285712e-05
1254.2129665079185	9.42857142857143e-06
1254.2419100486945	1.0828571428571428e-05
1254.270900958663	1.2485714285714286e-05
1254.299939185871	1.75e-05
1254.3290246783722	1.947142857142857e-05
1254.3581573842346	2.335714285714286e-05
1254.387337251535	2.0585714285714286e-05
1254.4165642283615	2.0028571428571428e-05
1254.4458382628136	2.1114285714285718e-05
1254.4751593029998	2.4771428571428573e-05
1254.5045272970415	2.7e-05
1254.5339421930705	2.9785714285714283e-05
1254.5634039392273	3.255714285714286e-05
1254.5929124836655	3.312857142857143e-05
1254.622467774548	3.3414285714285715e-05
1254.6520697600502	3.282857142857143e-05
1254.681718388356	3.3971428571428567e-05
1254.7114136076614	3.5928571428571425e-05
1254.7411553661732	3.955714285714286e-05
1254.7709436121088	4.318571428571428e-05
1254.8007782936959	4.067142857142857e-05
1254.8306593591735	4.1528571428571425e-05
1254.8605867567915	4.318571428571428e-05
1254.8905604348106	4.905714285714286e-05
1254.9205803415002	4.71e-05
1254.950646425144	4.9328571428571425e-05
1254.9807586340335	4.96e-05
1255.0109169164734	5.489999999999999e-05
1255.0411212207769	5.3785714285714277e-05
1255.0713714952687	5.517142857142857e-05
1255.1016676882855	5.544285714285714e-05
1255.132009748173	5.682857142857143e-05
1255.1623976232886	6.102857142857143e-05
1255.1928312620007	6.271428571428571e-05
1255.2233106126876	6.605714285714286e-05
1255.2538356237394	6.131428571428572e-05
1255.2844062435547	6.634285714285715e-05
1255.3150224205472	6.632857142857142e-05
1255.345684103137	7.110000000000001e-05
1255.3763912397567	7.277142857142857e-05
1255.4071437788505	7.22e-05
1255.4379416688714	6.997142857142857e-05
1255.4687848582855	7.667142857142855e-05
1255.4996732955678	7.194285714285714e-05
1255.5306069292046	7.89e-05
1255.5615857076928	7.778571428571428e-05
1255.592609579541	7.862857142857142e-05
1255.6236784932676	8.337142857142857e-05
1255.654792397402	8.475714285714285e-05
1255.6859512404849	8.668571428571429e-05
1255.7171549710665	8.978571428571427e-05
1255.7484035377088	8.475714285714287e-05
1255.7796968889847	8.669999999999999e-05
1255.811034973477	9.005714285714284e-05
1255.8424177397803	9.174285714285714e-05
1255.8738451364986	9.142857142857142e-05
1255.9053171122484	8.81e-05
1255.9368336156551	9.005714285714284e-05
1255.9683945953564	9.452857142857143e-05
1256.0	9.395714285714286e-05
1256.0316497782444	9.618571428571429e-05
1256.0633438787593	0.00010234285714285712
1256.0950822502246	0.00010345714285714286
1256.1268648413306	0.00010039999999999999
1256.1586916007802	0.00010401428571428571
1256.1905624772853	0.00010597142857142858
1256.2224774195688	0.0001068
1256.254436376365	0.00010735714285714286
1256.2864392964184	0.00011071428571428571
1256.318486128485	0.00011044285714285715
1256.3505768213302	0.00010932857142857143
1256.3827113237314	0.000111
1256.4148895844771	0.00011712857142857142
1256.4471115523647	0.00011908571428571428
1256.4793771762045	0.00011685714285714286
1256.5116864048155	0.00011545714285714287
1256.5440391870295	0.00012104285714285715
1256.5764354716878	0.00012635714285714285
1256.6088752076425	0.00012355714285714283
1256.6413583437568	0.00012467142857142856
1256.6738848289046	0.00012104285714285714
1256.7064546119714	0.0001252285714285714
1256.7390676418513	0.00013137142857142856
1256.7717238674506	0.00012689999999999997
1256.8044232376876	0.00013027142857142856
1256.8371657014884	0.00013165714285714287
1256.8699512077926	0.00013164285714285714
1256.9027797055494	0.00013358571428571426
1256.9356511437172	0.00013472857142857145
1256.9685654712687	0.00014281428571428573
1257.0015226371847	0.00014418571428571428
